disk,capacity,type,node
sdh,1.8T,WDC WD2003FZEX-0,c13.12
sdi,1.8T,WD2000FYYZ-23UL,c13.12
sdj,1.8T,WD2000FYYZ-23UL,c13.12
sdk,1.8T,WD2000FYYZ-23UL,c13.12
sda,1.8T,WD2000FYYZ-23UL,c13.13
sdb,1.8T,WD2004FBYZ-23YC,c13.13
sdc,1.8T,WD2000FYYZ-23UL,c13.13
sdd,1.8T,WD2000FYYZ-23UL,c13.13
sde,1.8T,WD2000FYYZ-23UL,c13.13
sdf,1.8T,WD2000FYYZ-23UL,c13.13
sdg,1.8T,HUA723020ALA640,c13.13
sdh,1.8T,WD2000FYYZ-23UL,c13.13
sdi,1.8T,WD2000FYYZ-23UL,c13.13
sdj,1.8T,WD2004FBYZ-23YC,c13.13
sdk,1.8T,WD2000FYYZ-23UL,c13.13
sda,1.8T,WDC WD2003FZEX-0,c13.14
sdb,1.8T,WD2000FYYZ-23UL,c13.14
sdc,1.8T,WD2000FYYZ-23UL,c13.14
sdd,1.8T,MG04ACA200N,c13.14
sde,1.8T,WDC WD2003FZEX-0,c13.14
sdf,1.8T,WD2000FYYZ-23UL,c13.14
sdg,1.8T,WD2000FYYZ-23UL,c13.14
sdh,1.8T,WD2000FYYZ-23UL,c13.14
sdi,1.8T,WD2004FBYZ-23YC,c13.14
sdj,1.8T,WD2000FYYZ-23UL,c13.14
sdk,1.8T,WD2000FYYZ-23UL,c13.14
sda,1.8T,WD2000FYYZ-23UL,c13.15
sdb,1.8T,MG04ACA200N,c13.15
sdc,1.8T,WD2000FYYZ-23UL,c13.15
sdd,1.8T,WD2000FYYZ-23UL,c13.15
sde,1.8T,WD2000FYYZ-23UL,c13.15
sdf,1.8T,WD2000FYYZ-23UL,c13.15
sdg,1.8T,WD2000FYYZ-23UL,c13.15
sdh,1.8T,WD2000FYYZ-23UL,c13.15
sdi,1.8T,WD2000FYYZ-23UL,c13.15
sdj,1.8T,WD2000FYYZ-23UL,c13.15
sdk,1.8T,ST2000NM0011,c13.15
sda,1.8T,WD2000FYYZ-23UL,c13.16
sdb,1.8T,WD2000FYYZ-23UL,c13.16
sdc,1.8T,WD2000FYYZ-23UL,c13.16
sdd,1.8T,WD2000FYYZ-23UL,c13.16
sde,1.8T,WD2000FYYZ-23UL,c13.16
sdf,1.8T,WD2000FYYZ-23UL,c13.16
